Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Azja;Chiny;Hoizhou 1;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2025;;W budowie","
Azja;Chiny;Hoizhou 2;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2025;;W budowie","
Azja;Chiny;Shidao Bay 1;211;Grafitowo-gazowy;HTR-PM;VHTR;Enegetyczny;;;2019;;Trwaj¹ ostatnie prace prac¹ komercyjn¹","
Azja;Chiny;Shidao Bay 2;1550;Lekkowodny;PWR;CAP-1400;Enegetyczny;;;2021;;W budowie","
Azja;Chiny;Shidao Bay 3;1550;Lekkowodny;PWR;CAP-1400;Enegetyczny;;;2021;;W budowie","
Azja;Chiny;Xiapu 1;600;Prêdki;FNR;CFR-600;Enegetyczny;;;2023;;W budowie","
Azja;Chiny;Zhangzhou 1;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2025;;W budowie","
Azja;Chiny;Zhangzhou 2;1150;Lekkowodny;PWR;HPR1000;Enegetyczny;;;2025;;W budowie","
Azja;Chiny;CEFR;20;Prêdki;FNR;CEFR;Badawczy;21.lip.11;;;;Za³o¿ono okres dzia³ania 30 lat","
Azja;Chiny;HTR-10;10;Grafitowo-gazowy;HTGR;HTR-10;Badawczy;sty.03;;;;","
Azja;Filipiny;Baatan 1;621;Lekkowodny;PWR;Westinghouse;Energetyczny;;;;;Nigdy nie dokoñczono budowy","
Azja;Filipiny;Quezon City;1;;Zbiornikowy;PRR-1;Badawczy;26.sie.63;1988;;;","
Azja;Filipiny;Quezon City;3;;Zbiornikowy;TRIGA Mark III;Badawczy;kwi.88;2005;;;","
Azja;Indie;Kaiga-1;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;16.lis.00;;;;","
Azja;Indie;Kaiga-2;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;16.mar.00;;;;","
Azja;Indie;Kaiga-3;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;06.maj.07;;;;","
Azja;Indie;Kaiga-4;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;20.sty.11;;;;","
Azja;Indie;Kakrapar 1;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;06.maj.93;;;;","
Azja;Indie;Kakrapar 2;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;01.wrz.95;;;;","
Azja;Indie;Kakrapar 3;700;Ciê¿kowodny;PHWR;PHWR-700;Energetyczny;;;2022;;W budowie","
Azja;Indie;Kakrapar 4;700;Ciê¿kowodny;PHWR;PHWR-700;Energetyczny;;;2022;;W budowie","
Azja;Indie;Kudankulam 1;1000;Lekkowodny;PWR;VVER V-412;Energetyczny;31.gru.14;;;;","
Azja;Indie;Kudankulam 2;1000;Lekkowodny;PWR;VVER V-412;Energetyczny;31.mar.17;;;;","
Azja;Indie;Kudankulam 3;1000;Lekkowodny;PWR;VVER V-412;Energetyczny;;;;;W budowie","
Azja;Indie;Kudankulam 4;1000;Lekkowodny;PWR;VVER V-412;Energetyczny;;;;;W budowie","
Azja;Indie;Madras 1;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;27.sty.84;;;;","
Azja;Indie;Madras 2;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;21.mar.86;;;;","
Azja;Indie;Narora 1;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;01.sty.91;;;;","
Azja;Indie;Narora 2;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;01.lip.92;;;;","
Azja;Indie;RAPS-1;100;Ciê¿kowodny;PHWR;CANDU;Energetyczny;16.gru.73;;;;","
Azja;Indie;RAPS-2;200;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;01.kwi.81;;;;","
Azja;Indie;RAPS-3;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;01.cze.00;;;;","
Azja;Indie;RAPS-4;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;23.gru.00;;;;","
Azja;Indie;RAPS-5;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;04.lut.10;;;;","
Azja;Indie;RAPS-6;220;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;31.mar.10;;;;","
Azja;Indie;RAPS-7;700;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;;;2022;;W budowie","
Azja;Indie;RAPS-8;700;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;;;2022;;W budowie","
Azja;Indie;Tarapur-1;160;Lekkowodny;BWR;BWR-1, Mark 1;Energetyczny;28.paŸ.69;;;;","
Azja;Indie;Tarapur-2;160;Lekkowodny;BWR;BWR-1, Mark 1;Energetyczny;28.paŸ.69;;;;","
Azja;Indie;Tarapur-3;540;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;18.sie.06;;;;","
Azja;Indie;Tarapur-4;540;Ciê¿kowodny;PHWR;Horizontal Pressure Tube;Energetyczny;12.wrz.05;;;;","
Azja;Indie;Kalpakkam;500;Prêdki;FBR;PFBR;Energetyczny;;;2020;;W budowie","
Azja;Indie;Bhabha Atomic Research Center (BARC) – Trombay;1 MWt;Lekkowodny;Zbiornikowy;Apsara reactor;Badawczy;maj.55;2009;;;Reaktor wy³¹czony","
Azja;Indie;Bhabha Atomic Research Center (BARC) – Trombay;40;Ciê¿kowodny;;CIRUS reactor;Badawczy;10.lip.60;31.gru.10;;;Reaktor wy³¹czony","
Azja;Indie;Bhabha Atomic Research Center (BARC) – Trombay;100;Ciê¿kowodny;Zbiornikowy;Dhruva reactor;Badawczy;08.sie.85;;;;","
Azja;Indie;Bhabha Atomic Research Center (BARC) – Trombay;;;Zbiornikowy;Purnima;Badawczy;18.maj.72;;;;","
Azja;Indie;Indira Gandhi Center for Atomic Research (IGCAR) – Kalpakkam;40;Prêdki;FBR;FBTR;Badawczy;paŸ.85;;;;","
Azja;Indie;Indira Gandhi Center for Atomic Research (IGCAR) – Kalpakkam;0,00003 MWt;Lekkowodny;;KAMINI;Badawczy;29.paŸ.96;;;;","
Azja;Indonezja;Bandung;2 MWt;Wodno-grafitowy;Zbiornikowy;TRIGA Mark II;Badawczy;1965;;;;","
Azja;Indonezja;Yogyakarta;0,1 MWt;Wodno-grafitowy;Zbiornikowy;TRIGA Mark II;Badawczy;1979;;;;","
Azja;Indonezja;Serpong;30 MWt;;;Reaktor Serba Guna–Gerrit Augustinus Siwabessy (RSG-GAS);Badawczy;29.lip.87;;;;","
Azja;Irak;Osiraq;5 MWt;;Zbiornikowy;IRT-5000;Badawczy;;1991;;;Reaktor zniszczony w operacji Pustynna Burza","
Azja;Irak;Osiraq;40 MWt;;Zbiornikowy;Tarmuz-1;Badawczy;ok. 1980;07.cze.81;;;Reaktor zniszczony w operacji Opera","
Azja;Irak;Osiraq;0,5 MWt;;Zbiornikowy;Tarmuz-2;Badawczy;ok. 1980;07.cze.81;;;Reaktor zniszczony w operacji Opera","
Azja;Iran;Bulshehr-1;1000;Lekkowodny;PWR;VVER V-446;Energetyczny;23.wrz.13;;;;","
Azja;Iran;Teheran;;;;AMF;Badawczy;1967;;;;","
Azja;Iran;Arak;40 MWt;Ciê¿kowodny;;IR-40;Badawczy;2014;;;;","
Azja;Iran;Isfahan;0,000027 MWt;;;MNSR;Badawczy;;;;;","
Azja;Iran;Isfahan;;Lekkowodny;Subkrytyczny;LWSCR;Badawczy;;;;;","
Azja;Iran;Isfahan;;Ciê¿kowodny;;HWZPR;Badawczy;;;;;","
Azja;Iran;Isfahan;;Grafitowy;Subkrytyczny;GSCR;Badawczy;;;;;","
Azja;Izrael;Negev Nuclear Research Center;24 MWt;Ciê¿kowodny;;EL-102;Badawczy;1962;;;;","
Azja;Izrael;Soreq Nuclear Research Center;5 MWt;Lekkowodny;Zbornikowy;IRR-1;Badawczy;1960;;;;","
Azja;Japonia;Fugen;165;Lekko-Ciê¿kowodny;HWLWR;ATR;Energetyczny;20.mar.79;29.mar.03;;;Reaktor wy³¹czony","
Azja;Japonia;Fukushima I - 1;460;Lekkowodny;BWR;BWR-3;Energetyczny;26.mar.79;19.maj.11;;;Reaktor zniszczony w wyniku tsunami","
Azja;Japonia;Fukushima I - 2;784;Lekkowodny;BWR;BWR-4;Energetyczny;18.lip.74;19.maj.11;;;Reaktor zniszczony w wyniku tsunami","
Azja;Japonia;Fukushima I - 3;784;Lekkowodny;BWR;BWR-4;Energetyczny;27.mar.76;19.maj.11;;;Reaktor zniszczony w wyniku tsunami","
Azja;Japonia;Fukushima I - 4;784;Lekkowodny;BWR;BWR-4;Energetyczny;12.paŸ.78;19.maj.11;;;Reaktor zniszczony w wyniku tsunami","
Azja;Japonia;Fukushima I - 5;784;Lekkowodny;BWR;BWR-4;Energetyczny;18.kwi.78;17.gru.13;;;Reaktor wy³¹czony","
Azja;Japonia;Fukushima I - 6;1100;Lekkowodny;BWR;BWR-5;Energetyczny;24.paŸ.79;17.gru.13;;;Reaktor wy³¹czony","
Azja;Japonia;Fukushima II - 1;1100;Lekkowodny;BWR;BWR-5;Energetyczny;20.kwi.82;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Fukushima II - 2;1100;Lekkowodny;BWR;BWR-5;Energetyczny;03.lut.84;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Fukushima II - 3;1100;Lekkowodny;BWR;BWR-5;Energetyczny;21.cze.85;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Fukushima II - 4;1100;Lekkowodny;BWR;BWR-5;Energetyczny;25.sie.87;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Genkai - 1;559;Lekkowodny;PWR;Mitsubishi (2-loop);Energetyczny;15.paŸ.75;27 Kwieiceñ 2015;;;Reaktor wy³¹czony","
Azja;Japonia;Genkai - 2;559;Lekkowodny;PWR;Mitsubishi (2-loop);Energetyczny;30.mar.81;09.kwi.19;;;Reaktor wy³¹czony","
Azja;Japonia;Genkai - 3;1180;Lekkowodny;PWR;Mitsubishi (4-loop);Energetyczny;18.mar.84;;;;","
Azja;Japonia;Genkai - 4;1180;Lekkowodny;PWR;Mitsubishi (4-loop);Energetyczny;25.lip.97;;;;","
Azja;Japonia;Hamaoka-1;540;Lekkowodny;BWR;BWR-4;Energetyczny;17.mar.76;30.sty.09;;;Reaktor wy³¹czony","
Azja;Japonia;Hamaoka-2;840;Lekkowodny;BWR;BWR-4;Energetyczny;29.lis.78;30.sty.09;;;Reaktor wy³¹czony","
Azja;Japonia;Hamaoka-3;1100;Lekkowodny;BWR;BWR-5;Energetyczny;28.sie.87;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Hamaoka-4;1137;Lekkowodny;BWR;BWR-5;Energetyczny;03.lis.93;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Hamaoka-5;1380;Lekkowodny;BWR;ABWR;Energetyczny;18.sty.05;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;T?hoku Higashidori - 1;1100;Lekkowodny;BWR;BWR-5;Energetyczny;08.gru.05;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Ikata - 1;566;Lekkowodny;PWR;Mitsubishi (2-loop);Energetyczny;30.wrz.77;25.mar.16;;;Reaktor wy³¹czony","
Azja;Japonia;Ikata - 2;566;Lekkowodny;PWR;Mitsubishi (2-loop);Energetyczny;19.mar.82;27.mar.18;;;Reaktor wy³¹czony","
Azja;Japonia;Ikata - 3;890;Lekkowodny;PWR;Mitsubishi (3-loop);Energetyczny;15.gru.94;;;;","
Azja;Japonia;Kashiwazaki-Kariwa - 1;1100;Lekkowodny;BWR;BWR-5;Energetyczny;18.wrz.85;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Kashiwazaki-Kariwa - 2;1100;Lekkowodny;BWR;BWR-5;Energetyczny;28.wrz.90;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Kashiwazaki-Kariwa - 3;1100;Lekkowodny;BWR;BWR-5;Energetyczny;11.sie.93;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Kashiwazaki-Kariwa - 4;1100;Lekkowodny;BWR;BWR-5;Energetyczny;11.sie.94;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Kashiwazaki-Kariwa - 5;1100;Lekkowodny;BWR;BWR-5;Energetyczny;10.kwi.90;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Kashiwazaki-Kariwa - 6;1356;Lekkowodny;BWR;ABWR;Energetyczny;07.lis.96;;;;Dzia³anie reaktora tymczasowo zawieszone, udzielono zgody na ponowne uruchomienie","
Azja;Japonia;Kashiwazaki-Kariwa - 7;1356;Lekkowodny;BWR;ABWR;Energetyczny;02.lip.97;;;;Dzia³anie reaktora tymczasowo zawieszone, udzielono zgody na ponowne uruchomienie","
Azja;Japonia;Mihama - 1;340;Lekkowodny;PWR;Mitsubishi (2-loop);Energetyczny;28.lis.70;mar.15;;;Reaktor wy³¹czony","
Azja;Japonia;Mihama - 2;500;Lekkowodny;PWR;Mitsubishi (2-loop);Energetyczny;25.lip.72;mar.15;;;Reaktor wy³¹czony","
Azja;Japonia;Mihama - 3;826;Lekkowodny;PWR;Mitsubishi (3-loop);Energetyczny;01.gru.76;;;;Dzia³anie reaktora tymczasowo zawieszone, udzielono zgody na ponowne uruchomienie","
Azja;Japonia;Monju - 1;280;Prêdki;FBR;FBR;Energetyczny;29.sie.95;8 Grudzieñ 1995/5 Grudzieñ 2017;;;Reaktor wy³¹czony, przeznaczony do demonta¿u","
Azja;Japonia;?i-1;1175;Lekkowodny;PWR;W (4-loop);Energetyczny;27.mar.79;gru.17;;;Reaktor wy³¹czony","
Azja;Japonia;?i-2;1175;Lekkowodny;PWR;W (4-loop);Energetyczny;05.gru.79;gru.17;;;Reaktor wy³¹czony","
Azja;Japonia;?i-3;1180;Lekkowodny;PWR;Mitsubishi (4-loop);Energetyczny;18.gru.91;;;;","
Azja;Japonia;?i-4;1180;Lekkowodny;PWR;Mitsubishi (4-loop);Energetyczny;02.lut.93;;;;","
Azja;Japonia;Onagawa - 1;524;Lekkowodny;BWR;BWR-4;Energetyczny;01.cze.84;21.gru.18;;;Reaktor wy³¹czony","
Azja;Japonia;Onagawa - 2;825;Lekkowodny;BWR;BWR-5;Energetyczny;28.lip.95;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Onagawa - 3;825;Lekkowodny;BWR;BWR-5;Energetyczny;30.sty.02;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Sendai-1;890;Lekkowodny;PWR;Mitsubishi (3-loop);Energetyczny;04.lip.84;;;;","
Azja;Japonia;Sendai-2;890;Lekkowodny;PWR;Mitsubishi (3-loop);Energetyczny;28.lis.85;;;;","
Azja;Japonia;Shika - 1;540;Lekkowodny;BWR;BWR-5;Energetyczny;30.lip.93;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Shika - 2;1206;Lekkowodny;BWR;ABWR;Energetyczny;15.mar.06;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Shimane-1;460;Lekkowodny;BWR;BWR-3;Energetyczny;29.mar.74;mar.15;;;Reaktor wy³¹czony","
Azja;Japonia;Shimane-2;820;Lekkowodny;BWR;BWR-5;Energetyczny;10.lut.89;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Shimane-3;1373;Lekkowodny;BWR;ABWR;Energetyczny;;;;;Budowa wstrzymana w 2011 roku, rozpoczêcie budowy zatwierdzone w 2012 roku przez METI","
Azja;Japonia;Takahama - 1;826;Lekkowodny;PWR;Mitsubishi (3-loop);Energetyczny;14.lis.74;;;;Dzia³anie reaktora tymczasowo zawieszone, udzielono zgody na ponowne uruchomienie","
Azja;Japonia;Takahama - 2;826;Lekkowodny;PWR;Mitsubishi (3-loop);Energetyczny;14.lis.75;;;;Dzia³anie reaktora tymczasowo zawieszone, udzielono zgody na ponowne uruchomienie","
Azja;Japonia;Takahama - 3;870;Lekkowodny;PWR;Mitsubishi (3-loop);Energetyczny;17.sty.85;;;;","
Azja;Japonia;Takahama - 4;870;Lekkowodny;PWR;Mitsubishi (3-loop);Energetyczny;05.cze.85;;;;","
Azja;Japonia;T?kai I;166;Grafitowo-gazowy;GCR;MAGNOX;Energetyczny;25.lip.66;31.mar.98;;;Reaktor wy³¹czony i zdemontowany","
Azja;Japonia;T?kai II;1100;Lekkowodny;BWR;BWR-5;Energetyczny;28.lis.78;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Tomari - 1;579;Lekkowodny;PWR;Mitsubishi (2-loop);Energetyczny;22.cze.89;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Tomari - 2;579;Lekkowodny;PWR;Mitsubishi (2-loop);Energetyczny;12.kwi.91;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Tomari - 3;912;Lekkowodny;PWR;Mitsubishi (3-loop);Energetyczny;22.gru.09;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;Tsuruga - 1;357;Lekkowodny;BWR;BWR-2;Energetyczny;14.mar.70;mar.15;;;Reaktor wy³¹czony","
Azja;Japonia;Tsuruga - 2;1160;Lekkowodny;PWR;Mitsubishi (4-loop);Energetyczny;17.lut.87;;;;Dzia³anie reaktora tymczasowo zawieszone","
Azja;Japonia;?ma - 1;1383;Lekkowodny;BWR;ABWR;Energetyczny;;;2021;;","
Azja;Japonia;T?kai;;;;JRR-1;Badawczy;;;;;Reaktor wy³¹czony","
Azja;Japonia;T?kai;;;;JRR-2;Badawczy;;;;;Reaktor wy³¹czony","
Azja;Japonia;T?kai;;;;JRR-3;Badawczy;;;;;","
Azja;Japonia;T?kai;;;;JRR-4;Badawczy;;;;;","
Azja;Japonia;T?kai;;;;JPDR;Badawczy;;;;;Reaktor wy³¹czony","
Azja;Japonia;?arai ;30 MWt;Grafitowo-gazowy;HTTR;HTTR;Badawczy;1999;;;;","
Azja;Japonia;?arai ;;;;JMTR;Badawczy;;;;;","
Azja;Japonia;?arai ;150 MWt;;;J?y?;Badawczy;;;;;","
Azja;Japonia;Naka;;Fuzyjny;;JT-60;Badawczy;1985;2010;;;","
Azja;Japonia;Nuclear Safety Research Reactor;;;;TRIGA;Badawczy;cze.75;;;;","
Azja;Japonia;Kinki University;;;;UTR-KINKI;Badawczy;;;;;","
Azja;Japonia;Kyoto University;;;;KUR;Badawczy;;;;;","
Azja;Japonia;Musashi Institute of Technology (Tokyo City University);;;;MITRR (TRIGA-II);Badawczy;;1990;;;Reaktor wy³¹czony","
Azja;Japonia;Rikkyo University;;;;RUR (TRIGA-II);Badawczy;;;;;Reaktor wy³¹czony","
Azja;Japonia;University of Tokyo;;;;Yayoi;Badawczy;;;;;Reaktor wy³¹czony","
Azja;Kazachstan;Aktau-1;90;Prêdki;FBR;BN-350;Energetyczny;16.lip.73;22.kwi.99;;;Reaktor wy³¹czony","
Azja;Kazachstan;Alatau, Institute of Nuclear Physics of the National Nuclear Center;10;Lekkowodny;PWR;VVR-K;Badawczy;;;;;","
Azja;Kazachstan;Kurchatov, National Nuclear Center, Semipalatinsk Test Site;60 MWt;;;IVG-1M;Badawczy;;;;;","
Azja;Kazachstan;Kurchatov, National Nuclear Center, Semipalatinsk Test Site;;;;RA;Badawczy;;;;;Reaktor wy³¹czony","
Azja;Kazachstan;Kurchatov, National Nuclear Center, Semipalatinsk Test Site;50 MWt;;;IGR (Impulse Graphite Reactor);Badawczy;;;;;","
Azja;Korea Po³udniowa;Hanbit-1;1029;Lekkowodny;PWR;WH F;Energetyczny;25.sie.86;;;;","
Azja;Korea Po³udniowa;Hanbit-2;1026;Lekkowodny;PWR;WH F;Energetyczny;10.cze.87;;;;","
Azja;Korea Po³udniowa;Hanbit-3;1039;Lekkowodny;PWR;OPR-1000;Energetyczny;31.mar.95;;;;","
Azja;Korea Po³udniowa;Hanbit-4;1022;Lekkowodny;PWR;OPR-1000;Energetyczny;01.sty.96;;;;","
Azja;Korea Po³udniowa;Hanbit-5;1048;Lekkowodny;PWR;OPR-1000;Energetyczny;21.maj.02;;;;","
Azja;Korea Po³udniowa;Hanbit-6;1049;Lekkowodny;PWR;OPR-1000;Energetyczny;24.gru.02;;;;","
Azja;Korea Po³udniowa;Hanul-1;1007;Lekkowodny;PWR;France CPI;Energetyczny;10.wrz.88;;;;","
Azja;Korea Po³udniowa;Hanul-2;1010;Lekkowodny;PWR;France CPI;Energetyczny;30.wrz.89;;;;","
Azja;Korea Po³udniowa;Hanul-3;1048;Lekkowodny;PWR;OPR-1000;Energetyczny;11.sie.98;;;;","
Azja;Korea Po³udniowa;Hanul-4;1053;Lekkowodny;PWR;OPR-1000;Energetyczny;31.gru.99;;;;","
Azja;Korea Po³udniowa;Hanul-5;1050;Lekkowodny;PWR;OPR-1000;Energetyczny;29.lip.04;;;;","
Azja;Korea Po³udniowa;Hanul-6;1049;Lekkowodny;PWR;OPR-1000;Energetyczny;22.kwi.05;;;;","
Azja;Korea Po³udniowa;Shin Hanul-1;1400;Lekkowodny;PWR;APR-1400;Energetyczny;;;2018;;Rozpoczêcie pracy reaktora planowano na rok 2018","
Azja;Korea Po³udniowa;Shin Hanul-2;1400;Lekkowodny;PWR;APR-1400;Energetyczny;;;2018;;Rozpoczêcie pracy reaktora planowano na rok 2018","
Azja;Korea Po³udniowa;Kori-1;607;Lekkowodny;PWR;WH-60;Energetyczny;29.kwi.78;18.cze.17;;;Reaktor wy³¹czony","
Azja;Korea Po³udniowa;Kori-2;681;Lekkowodny;PWR;WH-F;Energetyczny;25.lip.83;;;;","
Azja;Korea Po³udniowa;Kori-3;1044;Lekkowodny;PWR;WH-F;Energetyczny;30.wrz.85;;;;","
Azja;Korea Po³udniowa;Kori-4;1044;Lekkowodny;PWR;WH-F;Energetyczny;28.kwi.86;;;;","
Azja;Korea Po³udniowa;Shin Kori-1;1044;Lekkowodny;PWR;OPR-1000;Energetyczny;28.lut.11;;;;","
Azja;Korea Po³udniowa;Shin Kori-2;1045;Lekkowodny;PWR;OPR-1000;Energetyczny;20.lip.12;;;;","
Azja;Korea Po³udniowa;Shin Kori-3;1485;Lekkowodny;PWR;APR-1400;Energetyczny;15.sty.16;;;;","
Azja;Korea Po³udniowa;Shin Kori-4;1400;Lekkowodny;PWR;APR-1400;Energetyczny;;;wrz.18;;Rozpoczêcie pracy reaktora planowano na rok 2018","
Azja;Korea Po³udniowa;Shin Kori-5;1400;Lekkowodny;PWR;APR-1400;Energetyczny;;;;;W budowie","
Azja;Korea Po³udniowa;Shin Kori-6;1400;Lekkowodny;PWR;APR-1400;Energetyczny;;;;;W budowie","
Azja;Korea Po³udniowa;Wolsong-1;683;Ciê¿kowodny;PHWR;CANDU-6;Energetyczny;22.kwi.83;;;;","
Azja;Korea Po³udniowa;Wolsong-2;629;Ciê¿kowodny;PHWR;CANDU-6;Energetyczny;01.lip.97;;;;","
Azja;Korea Po³udniowa;Wolsong-3;653;Ciê¿kowodny;PHWR;CANDU-6;Energetyczny;01.lip.98;;;;","
Azja;Korea Po³udniowa;Wolsong-4;630;Ciê¿kowodny;PHWR;CANDU-6;Energetyczny;01.paŸ.99;;;;","
Azja;Korea Po³udniowa;Shin Wolsong-1;1048;Lekkowodny;PWR;OPR-1000;Energetyczny;31.lip.12;;;;","
Azja;Korea Po³udniowa;Shin Wolsong-2;1050;Lekkowodny;PWR;OPR-1000;Energetyczny;26.lut.15;;;;","
Azja;Korea Po³udniowa;Aerojet General Nucleonics;;;;Model 201 Research reactor;Badawczy;;;;;","
Azja;Korea Po³udniowa;High-Flux Advanced Neutron Application Reactor;;;MAPLE class reactor;HANARO;Badawczy;;;;;","
Azja;Korea Po³udniowa;TRIGA General Atomics Mark II;;;TRIGA Mark II;;Badawczy;;;;;Reaktor wy³¹czony i zdemontowany","
Azja;Korea Po³udniowa;TRIGA General Atomics Mark III;;;TRIGA Mark III;;Badawczy;;;;;Reaktor wy³¹czony i zdemontowany","
Azja;Korea Pó³nocna;Yongbyon 1;5;Grafitowo-gazowy;GCR;MAGNOX;Energetyczny;;1994;;;Reaktor wy³¹czony","
Azja;Korea Pó³nocna;Yongbyon 2;30;Lekkowodny;LWR;;Energetyczny;;;;;W budowie","
Azja;Korea Pó³nocna;Taechon 1;200;;;;Energetyczny;;1994;;;Budowa reaktora zawieszona w 1994 roku","
Azja;Korea Pó³nocna;Kumho 1;1000;Lekkowodny;PWR;;Energetyczny;;2003;;;Budowa reaktora zawieszona w 2003 roku","
Azja;Korea Pó³nocna;Kumho 2;1000;Lekkowodny;PWR;;Energetyczny;;2003;;;Budowa reaktora zawieszona w 2003 roku","
Azja;Korea Pó³nocna;Yongbyon;8 MWt;Ciê¿kowodny;;IRT-2000;Badawczy;1965;;;;Moc reaktora kilkukrotnie zwiêkszana","
Azja;Malezja;Malaysian Institute for Nuclear Technology, Kuala Lumpur;;;TRIGA Mark II;;Badawczy;1982;;;;","
Azja;Pakistan;Chasnupp-1;325;Lekkowodny;PWR;CNP-300;Energetyczny;15.wrz.00;;;;","
Azja;Pakistan;Chasnupp-2;325;Lekkowodny;PWR;CNP-300;Energetyczny;18.maj.11;;;;","
Azja;Pakistan;Chasnupp-3;340;Lekkowodny;PWR;CNP-300;Energetyczny;15.paŸ.16;;;;","
Azja;Pakistan;Chasnupp-4;340;Lekkowodny;PWR;CNP-300;Energetyczny;01.lip.17;;;;","
Azja;Pakistan;Kanupp-1;100;Ciê¿kowodny;PHWR;CANDU-137 MW;Energetyczny;07.gru.72;;;;Reaktorowi co jakiœ czas jest zmniejszana moc, przeznaczony do wy³¹czenia w najbli¿szej przysz³oœci","
Azja;Pakistan;Kanupp-2;1100;Lekkowodny;PWR;HPR1000;Energetyczny;;;2020;;W budowie","
Azja;Pakistan;Kanupp-3;1100;Lekkowodny;PWR;HPR1000;Energetyczny;;;2021;;W budowie","
Azja;Pakistan;Pakistan Atomic Research Reactor, Islamabad;10 MWt;Lekkowodny;Zbiornikowy;PARR-1;Badawczy;1965;;;;","
Azja;Pakistan;Pakistan Atomic Research Reactor, Islamabad;0,00003 MWt;Lekkowodny;Zbiornikowy;PARR-2;Badawczy;1974;;;;","
Azja;Pakistan;Khushab Nuclear Complex;50 MWt;Ciê¿kowodny;;Khushab-I;Produkcja plutonu;1998;;;;Reaktor nie znajduje siê pod kontrol¹ IAEA","
Azja;Pakistan;Khushab Nuclear Complex;50 MWt;Ciê¿kowodny;;Khushab-II;Produkcja plutonu;2010;;;;Reaktor nie znajduje siê pod kontrol¹ IAEA","
Azja;Pakistan;Khushab Nuclear Complex;50 MWt;Ciê¿kowodny;;Khushab-III;Produkcja plutonu;2013;;;;Reaktor nie znajduje siê pod kontrol¹ IAEA","
Azja;Pakistan;Khushab Nuclear Complex;;Ciê¿kowodny;;Khushab-IV;Produkcja plutonu;2015;;;;Reaktor nie znajduje siê pod kontrol¹ IAEA","
Azja;Rosja;Akademik Lomonosov 1;38;Lekkowodny;PWR;KLT-40S;Energetyczny;04.lip.19;;;;Reaktory umieszczone s¹ na jednostce p³ywaj¹cej","
