Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Ameryka Pó³nocna;Kanada;Tunney's Pasture - 20 Goldenrod Avenue, Ottawa, Ontario;0,00002 MWt;;SLOWPOKE;;Badawczy;14.maj.71;1984;;;","
Ameryka Pó³nocna;Kanada;University of Toronto Haultin Building - Toronto, Ontario;0,00002;;SLOWPOKE;;Badawczy;05.cze.71;1976;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Kanada;University of Toronto Haultin Building - Toronto, Ontario;0,00002;;SLOWPOKE-2;;Badawczy;1976;2001;;;Reaktor wy³¹czony","
Ameryka Pó³nocna;Kanada;École Polytechnique de Montréal - Montreal, Quebec;0,00002;;SLOWPOKE-2;;Badawczy;01.maj.76;;;;","
Ameryka Pó³nocna;Kanada;Dalhousie University Trace Analysis Research Centre - Halifax, Nova Scotia;0,00002;;SLOWPOKE-2;;Badawczy;08.lip.76;2011;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Kanada;University of Alberta - Edmonton;0,00002;;SLOWPOKE-2;;Badawczy;22.kwi.77;05.sie.17;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Kanada;Saskatchewan Research Council - Saskatoon;0,000016;;SLOWPOKE-2;;Badawczy;01.mar.81;;;;","
Ameryka Pó³nocna;Kanada;Kanata - original AECL and later MDS Nordion;0,00002;;SLOWPOKE-2;;Badawczy;06.cze.84;1989;;;","
Ameryka Pó³nocna;Kanada;Royal Military College - Kingston, Ontario;0,00002;;SLOWPOKE-2;;Badawczy;06.wrz.85;;;;","
Ameryka Pó³nocna;Kuba;Juragua-1;440;Lekkowodny;PWR;VVER-440 V-318;Energetyczny;;05.wrz.92;;;Budowa reaktora wstrzymana w 1992 roku z powodu rozpadu Zwi¹zku Radzieckiego","
Ameryka Pó³nocna;Kuba;Juragua-2;440;Lekkowodny;PWR;VVER-440 V-318;Energetyczny;;05.wrz.92;;;Budowa reaktora wstrzymana w 1992 roku z powodu rozpadu Zwi¹zku Radzieckiego","
Ameryka Pó³nocna;Meksyk;Laguna Verde-1;805;Lekkowodny;BWR;BWR-5;Energetyczny;29.lip.90;;;;","
Ameryka Pó³nocna;Meksyk;Laguna Verde-2;810;Lekkowodny;BWR;BWR-5;Energetyczny;10.kwi.95;;;;","
Ameryka Pó³nocna;Meksyk;National Institute for Nuclear Research, Mexico City;;;TRIGA;TRIGA Mark III;Badawczy;;;;;","
Ameryka Pó³nocna;Meksyk;National Polytechnic Institute, Mexico City;;Subkrytyczny;;Nuclear-Chicago Modelo 9000;Badawczy;;;;;","
Ameryka Pó³nocna;Meksyk;Autonomous University of Zacatecas, Zacatecas;;Subkrytyczny;;;Badawczy;;;;;","
Ameryka Pó³nocna;Panama;Panama Canal, USS Sturgis;10;Lekkowodny;PWR;MH-1A;Energetyczny;1967;1975;;;Reaktor znajdowa³ siê na jednostce p³ywaj¹cej, zosta³ wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Portoryko;Mayagüez;;;TRIGA;;Badawczy;;;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Portoryko;Boiling Nuclear Superheater (BONUS) Reactor Facility;50 MWt;;;BONUS;Badawczy;wrz.65;1970;;;Reaktor wy³¹czony i zdemontowany","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;ANO-1;903;Lekkowodny;PWR;B&W LLP (DRYAMB);Energetyczny;21.maj.74;;;2034;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;ANO-2;1065;Lekkowodny;PWR;CE 2-loop (DRYAMB);Energetyczny;01.wrz.78;;;2038;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Beaver Valley-1;959;Lekkowodny;PWR;WH 3-loop (DRYSUB);Energetyczny;02.lip.76;;;2021;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Beaver Valley-2;958;Lekkowodny;PWR;WH 3-loop (DRYSUB);Energetyczny;14.sie.87;;;;","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Bellefonte-1;1263;Lekkowodny;PWR;;Energetyczny;;;;;Budowa reaktora przerwana 1 Stycznia 1988 roku","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Bellefonte-2;1263;Lekkowodny;PWR;;Energetyczny;;;;;Budowa reaktora przerwana 1 Stycznia 1988 roku","
Ameryka Pó³nocna;Stany Zjednoczone Ameryki;Big Rock Project;71;Lekkowodny;BWR;;Energetyczny;29.mar.63;29.sie.97;;;Reaktor wy³¹czony i wys³any do Barnwell","
